Identificador,Nome Competição,Regata,Nome Competidor,Pontuação Regata (Nha),Classe Vela,Flag Name,Posição Geral,Pontuação Regata,Descarte,Punição,Flotilha,Total,Net,ID Competição
LAERKE BUHL-HANSEN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,LAERKE BUHL-HANSEN,nan-0-0,IQFoil Fem.,OVER,34,,0,0,MEDAL RACE,522.0,340.0,
INGRID PUUSTA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,INGRID PUUSTA,nan-0-0,IQFoil Fem.,OVER,35,,0,0,MEDAL RACE,477.0,343.0,
LUCIE BELBEOCH - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,LUCIE BELBEOCH,nan-0-0,IQFoil Fem.,OVER,36,,0,0,MEDAL RACE,482.0,347.0,
JOHANNA HJERTBERG - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,JOHANNA HJERTBERG,nan-0-0,IQFoil Fem.,OVER,37,,0,0,MEDAL RACE,495.0,350.0,
KWAN CHING MA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,KWAN CHING MA,nan-0-0,IQFoil Fem.,OVER,38,,0,0,MEDAL RACE,545.0,363.0,
BARBORA SVIKOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,BARBORA SVIKOVA,nan-0-0,IQFoil Fem.,OVER,39,,0,0,MEDAL RACE,524.0,365.0,
EMMA VIKTORIA MILLEND - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,EMMA VIKTORIA MILLEND,nan-0-0,IQFoil Fem.,OVER,40,,0,0,MEDAL RACE,547.0,378.0,
SOFIA RENNA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,SOFIA RENNA,nan-0-0,IQFoil Fem.,OVER,41,,0,0,MEDAL RACE,559.0,385.0,
ANDREA TORRES FULLANA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ANDREA TORRES FULLANA,nan-0-0,IQFoil Fem.,OVER,42,,0,0,MEDAL RACE,570.0,402.0,
MANON PIANAZZA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MANON PIANAZZA,nan-0-0,IQFoil Fem.,OVER,43,,0,0,MEDAL RACE,559.0,413.0,
NATASA LAPPA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,NATASA LAPPA,nan-0-0,IQFoil Fem.,OVER,44,,0,0,MEDAL RACE,574.0,425.0,
MERVE VATAN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MERVE VATAN,nan-0-0,IQFoil Fem.,OVER,45,,0,0,MEDAL RACE,627.0,433.0,
ODA SVERRE - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ODA SVERRE,nan-0-0,IQFoil Fem.,OVER,46,,0,0,MEDAL RACE,664.0,487.0,
MANJIA ZHENG - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MANJIA ZHENG,nan-0-0,IQFoil Fem.,OVER,47,,0,0,MEDAL RACE,307.0,205.0,
CAROLA  COLASANTO - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,CAROLA  COLASANTO,nan-0-0,IQFoil Fem.,OVER,48,,0,0,MEDAL RACE,327.0,209.0,
ALISA ENGELMANN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ALISA ENGELMANN,nan-0-0,IQFoil Fem.,OVER,49,,0,0,MEDAL RACE,2871.0,2758.0,
JENNIE ROBERTS - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,JENNIE ROBERTS,nan-0-0,IQFoil Fem.,OVER,50,,0,0,MEDAL RACE,368.0,239.0,
KRISTYNA PINOSOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,KRISTYNA PINOSOVA,nan-0-0,IQFoil Fem.,OVER,51,,0,0,MEDAL RACE,321.0,240.0,
RINA  NIIJIMA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,RINA  NIIJIMA,nan-0-0,IQFoil Fem.,OVER,52,,0,0,MEDAL RACE,344.0,242.0,
LINDA OPRANDI - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,LINDA OPRANDI,nan-0-0,IQFoil Fem.,OVER,53,,0,0,MEDAL RACE,371.0,246.0,
DILARA URALP PALOMBO - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,DILARA URALP PALOMBO,nan-0-0,IQFoil Fem.,OVER,54,,0,0,MEDAL RACE,348.0,249.0,
WUNIU AYU - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,WUNIU AYU,nan-0-0,IQFoil Fem.,OVER,55,,0,0,MEDAL RACE,382.0,255.0,
NELA SADILKOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,NELA SADILKOVA,nan-0-0,IQFoil Fem.,OVER,56,,0,0,MEDAL RACE,393.0,280.0,
LUCY KENYON - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,LUCY KENYON,nan-0-0,IQFoil Fem.,OVER,57,,0,0,MEDAL RACE,418.0,282.0,
BARBARA WINAU ORDINAS - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,BARBARA WINAU ORDINAS,nan-0-0,IQFoil Fem.,OVER,58,,0,0,MEDAL RACE,457.0,295.0,
YUKI SUNAGA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,YUKI SUNAGA,nan-0-0,IQFoil Fem.,OVER,59,,0,0,MEDAL RACE,443.0,305.0,
KATERINA ALTMANNOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,KATERINA ALTMANNOVA,nan-0-0,IQFoil Fem.,OVER,60,,0,0,MEDAL RACE,475.0,306.0,
GIOVANNA PRADA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,GIOVANNA PRADA,nan-0-0,IQFoil Fem.,OVER,61,,0,0,MEDAL RACE,443.0,308.0,
YU CHEN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,YU CHEN,nan-0-0,IQFoil Fem.,OVER,62,,0,0,MEDAL RACE,455.0,327.0,
SOPHIA  MEYER - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,SOPHIA  MEYER,nan-0-0,IQFoil Fem.,OVER,63,,0,0,MEDAL RACE,457.0,338.0,
FUJIKO ONISHI - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,FUJIKO ONISHI,nan-0-0,IQFoil Fem.,OVER,64,,0,0,MEDAL RACE,510.0,355.0,
ALEKSANDRA BLINNIKKA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ALEKSANDRA BLINNIKKA,nan-0-0,IQFoil Fem.,OVER,65,,0,0,MEDAL RACE,519.0,370.0,
XIAONI CHEN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,XIAONI CHEN,nan-0-0,IQFoil Fem.,OVER,66,,0,0,MEDAL RACE,512.0,381.0,
DANAE PONTIFEX - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,DANAE PONTIFEX,nan-0-0,IQFoil Fem.,OVER,67,,0,0,MEDAL RACE,557.0,390.0,
ADA TAN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ADA TAN,nan-0-0,IQFoil Fem.,OVER,68,,0,0,MEDAL RACE,536.0,396.0,
JULIA GOMEZ ROA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,JULIA GOMEZ ROA,nan-0-0,IQFoil Fem.,OVER,69,,0,0,MEDAL RACE,582.2,401.0,
AIKATERINI DIVARI - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,AIKATERINI DIVARI,nan-0-0,IQFoil Fem.,OVER,70,,0,0,MEDAL RACE,561.0,423.0,
SAMANTHA COSTIN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,SAMANTHA COSTIN,nan-0-0,IQFoil Fem.,OVER,71,,0,0,MEDAL RACE,587.0,425.0,
JUNNA WATANABE - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,JUNNA WATANABE,nan-0-0,IQFoil Fem.,OVER,72,,0,0,MEDAL RACE,570.0,425.0,
LORENA ABICHT - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,LORENA ABICHT,nan-0-0,IQFoil Fem.,OVER,73,,0,0,MEDAL RACE,582.0,426.0,
MANON BERGER - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MANON BERGER,nan-0-0,IQFoil Fem.,OVER,74,,0,0,MEDAL RACE,589.0,426.0,
AMBAR PAPAZIAN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,AMBAR PAPAZIAN,nan-0-0,IQFoil Fem.,OVER,75,,0,0,MEDAL RACE,604.0,427.0,
BRUNA MARTINELLI CESARIO DE MELLO - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,BRUNA MARTINELLI CESARIO DE MELLO,nan-0-0,IQFoil Fem.,OVER,76,,0,0,MEDAL RACE,647.0,483.0,
MARSHA  BINTE SHAHRIN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MARSHA  BINTE SHAHRIN,nan-0-0,IQFoil Fem.,OVER,77,,0,0,MEDAL RACE,645.0,483.0,
ALEKSANDRA WASIEWICZ - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ALEKSANDRA WASIEWICZ,nan-0-0,IQFoil Fem.,OVER,78,,0,0,MEDAL RACE,658.0,493.0,
POLA WAWRZYNIAK - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,POLA WAWRZYNIAK,nan-0-0,IQFoil Fem.,OVER,79,,0,0,MEDAL RACE,652.0,499.0,
SOFIE HAMMEKEN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,SOFIE HAMMEKEN,nan-0-0,IQFoil Fem.,OVER,80,,0,0,MEDAL RACE,663.0,500.0,
SOFIA HAMALAINEN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,SOFIA HAMALAINEN,nan-0-0,IQFoil Fem.,OVER,81,,0,0,MEDAL RACE,702.0,518.0,
CHIARA  FERRETTI - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,CHIARA  FERRETTI,nan-0-0,IQFoil Fem.,OVER,82,,0,0,MEDAL RACE,697.0,521.0,
ELENA SANDERA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ELENA SANDERA,nan-0-0,IQFoil Fem.,OVER,83,,0,0,MEDAL RACE,723.0,530.0,
ENRICHETTA BETTINI FLEITAS - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ENRICHETTA BETTINI FLEITAS,nan-0-0,IQFoil Fem.,OVER,84,,0,0,MEDAL RACE,715.0,548.0,
MIKI YAMABE - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MIKI YAMABE,nan-0-0,IQFoil Fem.,OVER,85,,0,0,MEDAL RACE,746.0,573.0,
ATICHA HOMRARUEN - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ATICHA HOMRARUEN,nan-0-0,IQFoil Fem.,OVER,86,,0,0,MEDAL RACE,762.0,588.0,
FIANNE VAN DEN BRULE - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,FIANNE VAN DEN BRULE,nan-0-0,IQFoil Fem.,OVER,87,,0,0,MEDAL RACE,769.0,590.0,
MEGUMI ISEDA - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,MEGUMI ISEDA,nan-0-0,IQFoil Fem.,OVER,88,,0,0,MEDAL RACE,14168.0,13986.0,
B  LINDSAY - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,B  LINDSAY,nan-0-0,IQFoil Fem.,OVER,89,,0,0,MEDAL RACE,848.0,660.0,
NIKOLA  GIRKE - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,NIKOLA  GIRKE,nan-0-0,IQFoil Fem.,OVER,90,,0,0,MEDAL RACE,852.0,662.0,
SARA SZENTIVANYI - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,SARA SZENTIVANYI,nan-0-0,IQFoil Fem.,OVER,91,,0,0,MEDAL RACE,846.0,663.0,
REBECCA HELLER - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,REBECCA HELLER,nan-0-0,IQFoil Fem.,OVER,92,,0,0,MEDAL RACE,873.0,681.0,
ISHWARIYA GANESH - IQFoil Fem. - World Championship 2024,World Championship 2024,SF,ISHWARIYA GANESH,nan-0-0,IQFoil Fem.,OVER,93,,0,0,MEDAL RACE,929.0,736.0,
SHARON KANTOR - IQFoil Fem. - World Championship 2024,World Championship 2024,F,SHARON KANTOR,1.0-0-0,IQFoil Fem.,OVER,0,1.0,0,0,MEDAL RACE,227.0,102.0,
EMMA WILSON - IQFoil Fem. - World Championship 2024,World Championship 2024,F,EMMA WILSON,2.0-0-0,IQFoil Fem.,OVER,1,2.0,0,0,MEDAL RACE,68.0,23.0,
KATY SPYCHAKOV - IQFoil Fem. - World Championship 2024,World Championship 2024,F,KATY SPYCHAKOV,3.0-0-0,IQFoil Fem.,OVER,2,3.0,0,0,MEDAL RACE,205.0,103.0,
SARA WENNEKES - IQFoil Fem. - World Championship 2024,World Championship 2024,F,SARA WENNEKES,nan-0-0,IQFoil Fem.,OVER,3,,0,0,MEDAL RACE,173.0,110.0,
PILAR LAMADRID TRUEBA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,PILAR LAMADRID TRUEBA,nan-0-0,IQFoil Fem.,OVER,4,,0,0,MEDAL RACE,235.0,86.0,
MARIANA AGUILAR CHAVEZ PEON - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MARIANA AGUILAR CHAVEZ PEON,nan-0-0,IQFoil Fem.,OVER,5,,0,0,MEDAL RACE,296.0,165.0,
MAJA DZIARNOWSKA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MAJA DZIARNOWSKA,nan-0-0,IQFoil Fem.,OVER,6,,0,0,MEDAL RACE,275.0,151.0,
SHAHAR TIBI - IQFoil Fem. - World Championship 2024,World Championship 2024,F,SHAHAR TIBI,nan-0-0,IQFoil Fem.,OVER,7,,0,0,MEDAL RACE,236.0,114.0,
MARTA MAGGETTI - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MARTA MAGGETTI,nan-0-0,IQFoil Fem.,OVER,8,,0,0,MEDAL RACE,226.0,120.0,
MAYA GYSLER - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MAYA GYSLER,nan-0-0,IQFoil Fem.,OVER,9,,0,0,MEDAL RACE,330.0,174.0,
MINA MOBEKK - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MINA MOBEKK,nan-0-0,IQFoil Fem.,OVER,10,,0,0,MEDAL RACE,265.0,166.0,
TUVA OPPEDAL - IQFoil Fem. - World Championship 2024,World Championship 2024,F,TUVA OPPEDAL,nan-0-0,IQFoil Fem.,OVER,11,,0,0,MEDAL RACE,289.0,168.0,
DANIELA PELEG - IQFoil Fem. - World Championship 2024,World Championship 2024,F,DANIELA PELEG,nan-0-0,IQFoil Fem.,OVER,12,,0,0,MEDAL RACE,287.0,171.0,
TAMAR STEINBERG - IQFoil Fem. - World Championship 2024,World Championship 2024,F,TAMAR STEINBERG,nan-0-0,IQFoil Fem.,OVER,13,,0,0,MEDAL RACE,319.0,178.0,
LOLA SORIN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LOLA SORIN,nan-0-0,IQFoil Fem.,OVER,14,,0,0,MEDAL RACE,288.0,183.0,
MAYA MORRIS - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MAYA MORRIS,nan-0-0,IQFoil Fem.,OVER,15,,0,0,MEDAL RACE,277.0,184.0,
ZHENG YAN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ZHENG YAN,nan-0-0,IQFoil Fem.,OVER,16,,0,0,MEDAL RACE,342.0,185.0,
THERESA MARIE STEINLEIN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,THERESA MARIE STEINLEIN,nan-0-0,IQFoil Fem.,OVER,17,,0,0,MEDAL RACE,300.0,187.0,
NICOLE VAN DER VELDEN VIZCAYA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,NICOLE VAN DER VELDEN VIZCAYA,nan-0-0,IQFoil Fem.,OVER,18,,0,0,MEDAL RACE,340.0,205.0,
ISLAY WATSON - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ISLAY WATSON,nan-0-0,IQFoil Fem.,OVER,19,,0,0,MEDAL RACE,336.0,210.0,
VEERLE TEN HAVE - IQFoil Fem. - World Championship 2024,World Championship 2024,F,VEERLE TEN HAVE,nan-0-0,IQFoil Fem.,OVER,20,,0,0,MEDAL RACE,324.0,210.0,
DELPHINE COUSIN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,DELPHINE COUSIN,nan-0-0,IQFoil Fem.,OVER,21,,0,0,MEDAL RACE,339.0,223.0,
LILIAN DE GEUS - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LILIAN DE GEUS,nan-0-0,IQFoil Fem.,OVER,22,,0,0,MEDAL RACE,4429.0,4243.0,
PALMA CARGO - IQFoil Fem. - World Championship 2024,World Championship 2024,F,PALMA CARGO,nan-0-0,IQFoil Fem.,OVER,23,,0,0,MEDAL RACE,381.0,234.0,
HELENE NOESMOEN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,HELENE NOESMOEN,nan-0-0,IQFoil Fem.,OVER,24,,0,0,MEDAL RACE,361.0,235.0,
YUNXIU LU - IQFoil Fem. - World Championship 2024,World Championship 2024,F,YUNXIU LU,nan-0-0,IQFoil Fem.,OVER,25,,0,0,MEDAL RACE,434.0,291.0,
GIORGIA SPECIALE - IQFoil Fem. - World Championship 2024,World Championship 2024,F,GIORGIA SPECIALE,nan-0-0,IQFoil Fem.,OVER,26,,0,0,MEDAL RACE,433.0,292.0,
XIALING TAN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,XIALING TAN,nan-0-0,IQFoil Fem.,OVER,27,,0,0,MEDAL RACE,453.0,293.0,
NOCETI KLEPACKA ZOFIA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,NOCETI KLEPACKA ZOFIA,nan-0-0,IQFoil Fem.,OVER,28,,0,0,MEDAL RACE,446.0,299.0,
KATERINA SVIKOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,KATERINA SVIKOVA,nan-0-0,IQFoil Fem.,OVER,29,,0,0,MEDAL RACE,477.0,301.0,
MARIA BELEN BAZO - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MARIA BELEN BAZO,nan-0-0,IQFoil Fem.,OVER,30,,0,0,MEDAL RACE,493.0,311.0,
DOMINIQUE STATER - IQFoil Fem. - World Championship 2024,World Championship 2024,F,DOMINIQUE STATER,nan-0-0,IQFoil Fem.,OVER,31,,0,0,MEDAL RACE,498.0,315.0,
ALICE READ - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ALICE READ,nan-0-0,IQFoil Fem.,OVER,32,,0,0,MEDAL RACE,454.0,318.0,
XIANTING HUANG - IQFoil Fem. - World Championship 2024,World Championship 2024,F,XIANTING HUANG,nan-0-0,IQFoil Fem.,OVER,33,,0,0,MEDAL RACE,496.0,334.0,
LAERKE BUHL-HANSEN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LAERKE BUHL-HANSEN,nan-0-0,IQFoil Fem.,OVER,34,,0,0,MEDAL RACE,522.0,340.0,
INGRID PUUSTA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,INGRID PUUSTA,nan-0-0,IQFoil Fem.,OVER,35,,0,0,MEDAL RACE,477.0,343.0,
LUCIE BELBEOCH - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LUCIE BELBEOCH,nan-0-0,IQFoil Fem.,OVER,36,,0,0,MEDAL RACE,482.0,347.0,
JOHANNA HJERTBERG - IQFoil Fem. - World Championship 2024,World Championship 2024,F,JOHANNA HJERTBERG,nan-0-0,IQFoil Fem.,OVER,37,,0,0,MEDAL RACE,495.0,350.0,
KWAN CHING MA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,KWAN CHING MA,nan-0-0,IQFoil Fem.,OVER,38,,0,0,MEDAL RACE,545.0,363.0,
BARBORA SVIKOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,BARBORA SVIKOVA,nan-0-0,IQFoil Fem.,OVER,39,,0,0,MEDAL RACE,524.0,365.0,
EMMA VIKTORIA MILLEND - IQFoil Fem. - World Championship 2024,World Championship 2024,F,EMMA VIKTORIA MILLEND,nan-0-0,IQFoil Fem.,OVER,40,,0,0,MEDAL RACE,547.0,378.0,
SOFIA RENNA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,SOFIA RENNA,nan-0-0,IQFoil Fem.,OVER,41,,0,0,MEDAL RACE,559.0,385.0,
ANDREA TORRES FULLANA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ANDREA TORRES FULLANA,nan-0-0,IQFoil Fem.,OVER,42,,0,0,MEDAL RACE,570.0,402.0,
MANON PIANAZZA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MANON PIANAZZA,nan-0-0,IQFoil Fem.,OVER,43,,0,0,MEDAL RACE,559.0,413.0,
NATASA LAPPA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,NATASA LAPPA,nan-0-0,IQFoil Fem.,OVER,44,,0,0,MEDAL RACE,574.0,425.0,
MERVE VATAN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MERVE VATAN,nan-0-0,IQFoil Fem.,OVER,45,,0,0,MEDAL RACE,627.0,433.0,
ODA SVERRE - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ODA SVERRE,nan-0-0,IQFoil Fem.,OVER,46,,0,0,MEDAL RACE,664.0,487.0,
MANJIA ZHENG - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MANJIA ZHENG,nan-0-0,IQFoil Fem.,OVER,47,,0,0,MEDAL RACE,307.0,205.0,
CAROLA  COLASANTO - IQFoil Fem. - World Championship 2024,World Championship 2024,F,CAROLA  COLASANTO,nan-0-0,IQFoil Fem.,OVER,48,,0,0,MEDAL RACE,327.0,209.0,
ALISA ENGELMANN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ALISA ENGELMANN,nan-0-0,IQFoil Fem.,OVER,49,,0,0,MEDAL RACE,2871.0,2758.0,
JENNIE ROBERTS - IQFoil Fem. - World Championship 2024,World Championship 2024,F,JENNIE ROBERTS,nan-0-0,IQFoil Fem.,OVER,50,,0,0,MEDAL RACE,368.0,239.0,
KRISTYNA PINOSOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,KRISTYNA PINOSOVA,nan-0-0,IQFoil Fem.,OVER,51,,0,0,MEDAL RACE,321.0,240.0,
RINA  NIIJIMA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,RINA  NIIJIMA,nan-0-0,IQFoil Fem.,OVER,52,,0,0,MEDAL RACE,344.0,242.0,
LINDA OPRANDI - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LINDA OPRANDI,nan-0-0,IQFoil Fem.,OVER,53,,0,0,MEDAL RACE,371.0,246.0,
DILARA URALP PALOMBO - IQFoil Fem. - World Championship 2024,World Championship 2024,F,DILARA URALP PALOMBO,nan-0-0,IQFoil Fem.,OVER,54,,0,0,MEDAL RACE,348.0,249.0,
WUNIU AYU - IQFoil Fem. - World Championship 2024,World Championship 2024,F,WUNIU AYU,nan-0-0,IQFoil Fem.,OVER,55,,0,0,MEDAL RACE,382.0,255.0,
NELA SADILKOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,NELA SADILKOVA,nan-0-0,IQFoil Fem.,OVER,56,,0,0,MEDAL RACE,393.0,280.0,
LUCY KENYON - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LUCY KENYON,nan-0-0,IQFoil Fem.,OVER,57,,0,0,MEDAL RACE,418.0,282.0,
BARBARA WINAU ORDINAS - IQFoil Fem. - World Championship 2024,World Championship 2024,F,BARBARA WINAU ORDINAS,nan-0-0,IQFoil Fem.,OVER,58,,0,0,MEDAL RACE,457.0,295.0,
YUKI SUNAGA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,YUKI SUNAGA,nan-0-0,IQFoil Fem.,OVER,59,,0,0,MEDAL RACE,443.0,305.0,
KATERINA ALTMANNOVA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,KATERINA ALTMANNOVA,nan-0-0,IQFoil Fem.,OVER,60,,0,0,MEDAL RACE,475.0,306.0,
GIOVANNA PRADA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,GIOVANNA PRADA,nan-0-0,IQFoil Fem.,OVER,61,,0,0,MEDAL RACE,443.0,308.0,
YU CHEN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,YU CHEN,nan-0-0,IQFoil Fem.,OVER,62,,0,0,MEDAL RACE,455.0,327.0,
SOPHIA  MEYER - IQFoil Fem. - World Championship 2024,World Championship 2024,F,SOPHIA  MEYER,nan-0-0,IQFoil Fem.,OVER,63,,0,0,MEDAL RACE,457.0,338.0,
FUJIKO ONISHI - IQFoil Fem. - World Championship 2024,World Championship 2024,F,FUJIKO ONISHI,nan-0-0,IQFoil Fem.,OVER,64,,0,0,MEDAL RACE,510.0,355.0,
ALEKSANDRA BLINNIKKA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ALEKSANDRA BLINNIKKA,nan-0-0,IQFoil Fem.,OVER,65,,0,0,MEDAL RACE,519.0,370.0,
XIAONI CHEN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,XIAONI CHEN,nan-0-0,IQFoil Fem.,OVER,66,,0,0,MEDAL RACE,512.0,381.0,
DANAE PONTIFEX - IQFoil Fem. - World Championship 2024,World Championship 2024,F,DANAE PONTIFEX,nan-0-0,IQFoil Fem.,OVER,67,,0,0,MEDAL RACE,557.0,390.0,
ADA TAN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ADA TAN,nan-0-0,IQFoil Fem.,OVER,68,,0,0,MEDAL RACE,536.0,396.0,
JULIA GOMEZ ROA - IQFoil Fem. - World Championship 2024,World Championship 2024,F,JULIA GOMEZ ROA,nan-0-0,IQFoil Fem.,OVER,69,,0,0,MEDAL RACE,582.2,401.0,
AIKATERINI DIVARI - IQFoil Fem. - World Championship 2024,World Championship 2024,F,AIKATERINI DIVARI,nan-0-0,IQFoil Fem.,OVER,70,,0,0,MEDAL RACE,561.0,423.0,
SAMANTHA COSTIN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,SAMANTHA COSTIN,nan-0-0,IQFoil Fem.,OVER,71,,0,0,MEDAL RACE,587.0,425.0,
JUNNA WATANABE - IQFoil Fem. - World Championship 2024,World Championship 2024,F,JUNNA WATANABE,nan-0-0,IQFoil Fem.,OVER,72,,0,0,MEDAL RACE,570.0,425.0,
LORENA ABICHT - IQFoil Fem. - World Championship 2024,World Championship 2024,F,LORENA ABICHT,nan-0-0,IQFoil Fem.,OVER,73,,0,0,MEDAL RACE,582.0,426.0,
MANON BERGER - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MANON BERGER,nan-0-0,IQFoil Fem.,OVER,74,,0,0,MEDAL RACE,589.0,426.0,
AMBAR PAPAZIAN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,AMBAR PAPAZIAN,nan-0-0,IQFoil Fem.,OVER,75,,0,0,MEDAL RACE,604.0,427.0,
BRUNA MARTINELLI CESARIO DE MELLO - IQFoil Fem. - World Championship 2024,World Championship 2024,F,BRUNA MARTINELLI CESARIO DE MELLO,nan-0-0,IQFoil Fem.,OVER,76,,0,0,MEDAL RACE,647.0,483.0,
MARSHA  BINTE SHAHRIN - IQFoil Fem. - World Championship 2024,World Championship 2024,F,MARSHA  BINTE SHAHRIN,nan-0-0,IQFoil Fem.,OVER,77,,0,0,MEDAL RACE,645.0,483.0,
ALEKSANDRA WASIEWICZ - IQFoil Fem. - World Championship 2024,World Championship 2024,F,ALEKSANDRA WASIEWICZ,nan-0-0,IQFoil Fem.,OVER,78,,0,0,MEDAL RACE,658.0,493.0,
