Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Ed Powys, David Evans",,49er,41.0,G,40,,405.0,364.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Yukio Makino, Kenji Takahashi",,49er,3.0,G,9,,229.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,31.0,G,16,,215.0,184.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Nathan Outteridge, Iain Jensen",,49er,14.0,G,2,,131.0,98.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Carlos Paz, Luis Bugallo Arriola",,49er,33.0,G,39,,382.0,343.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Carl P Sylvan, Otto Hamel",,49er,23.0,G,12,,210.0,177.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Murci Siffeutte Grual, Gubreal Birgas",,49er,6.0,G,18,,229.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Blair Tuke, Peter Burling",,49er,1.0,G,1,,70.0,49.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Anders Thomsen, Jonas Warrer",,49er,41.0,G,11,,216.0,175.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Sébastien SCOTTO DI FASANO, Kevin Fischer",,49er,28.0,G,31,,311.0,270.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Manu Dyen, Marc Mallaret",,49er,4.0,G,36,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,32.0,G,37,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Alain Sign, Dylan Fletcher",,49er,13.0,G,5,,201.0,160.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Fynn Sterritt, James Peters",,49er,25.0,G,7,,199.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Dante Bianchi, Thomas Low-Beer",,49er,37.0,G,35,,315.0,276.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Ryan Seaton, Matthew Mcgovern",,49er,11.0,G,24,,241.0,207.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Jacopo Plazzi Marzotto, Umberto Molineris",,49er,22.0,G,23,,236.0,203.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Erik Heil, Thomas Ploessel",,49er,29.0,G,3,,185.0,144.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Luca Dubbini, Roberto Dubbini",,49er,21.0,G,34,,312.0,275.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Giacomo Cavalli, Ruggero Tita",,49er,30.0,G,27,,262.0,223.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Max Boehme, Justus Schmidt",,49er,2.0,G,6,,203.0,162.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Petar Cupac, Pavle Kostov",,49er,19.0,G,22,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Pavel Kalinchev, Pavel Karachov",,49er,15.0,G,32,,314.0,273.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Klaus Lange, Yago Lange",,49er,5.0,G,20,,240.0,199.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Andrea Tesei, Stefano Cherin",,49er,26.0,G,17,,222.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Diego Botin le Chever, Iago Lopez Marra",,49er,7.0,G,14,,210.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Mathieu Frei, Yann Rocherieux",,49er,27.0,G,26,,256.0,219.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,41.0,G,15,,224.0,183.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Stuart Bithell, John Pink",,49er,12.0,G,8,,200.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Julien D'Ortoli, Noe Delpech",,49er,16.0,G,33,,315.0,274.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,18.0,G,19,,238.0,197.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Jorge Lima, Jose Costa",,49er,10.0,G,10,,221.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Giuseppe Angilella, Pietro Zucchetti",,49er,9.0,G,29,,287.0,246.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Joel Turner, Lewis Brake",,49er,34.0,G,30,,291.0,253.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Bradley Funk, Trevor Burd",,49er,20.0,G,25,,254.0,217.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Marcus Hansen, Josh Porebski",,49er,17.0,G,13,,215.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 11,0
,,"Giuseppe Angilella, Pietro Zucchetti",,49er,25.0,G,29,,287.0,246.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,5.0,G,19,,238.0,197.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Klaus Lange, Yago Lange",,49er,19.0,G,20,,240.0,199.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Dante Bianchi, Thomas Low-Beer",,49er,39.0,G,35,,315.0,276.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Murci Siffeutte Grual, Gubreal Birgas",,49er,7.0,G,18,,229.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Federico Alonso Tellechea, Arturo Alonso Tellechea",,49er,1.0,G,21,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Yukio Makino, Kenji Takahashi",,49er,2.0,G,9,,229.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"James Wierzbowski, William Phillips",,49er,24.0,G,38,,366.0,325.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Julien D'Ortoli, Noe Delpech",,49er,40.0,G,33,,315.0,274.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,10.0,G,37,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Alain Sign, Dylan Fletcher",,49er,16.0,G,5,,201.0,160.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Erik Heil, Thomas Ploessel",,49er,22.0,G,3,,185.0,144.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Manu Dyen, Marc Mallaret",,49er,34.0,G,36,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Joel Turner, Lewis Brake",,49er,36.0,G,30,,291.0,253.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Anders Thomsen, Jonas Warrer",,49er,15.0,G,11,,216.0,175.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Carl P Sylvan, Otto Hamel",,49er,33.0,G,12,,210.0,177.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,23.0,G,16,,215.0,184.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Victor Vasternas, Victor Bergström",,49er,6.0,G,28,,265.0,229.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Sébastien SCOTTO DI FASANO, Kevin Fischer",,49er,21.0,G,31,,311.0,270.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Petar Cupac, Pavle Kostov",,49er,8.0,G,22,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Blair Tuke, Peter Burling",,49er,9.0,G,1,,70.0,49.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Carlos Paz, Luis Bugallo Arriola",,49er,27.0,G,39,,382.0,343.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,3.0,G,15,,224.0,183.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Nathan Outteridge, Iain Jensen",,49er,4.0,G,2,,131.0,98.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Max Boehme, Justus Schmidt",,49er,20.0,G,6,,203.0,162.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Andrea Tesei, Stefano Cherin",,49er,14.0,G,17,,222.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Mathieu Frei, Yann Rocherieux",,49er,37.0,G,26,,256.0,219.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Jorge Lima, Jose Costa",,49er,11.0,G,10,,221.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Rhys Mara, David Gilmour",,49er,28.0,G,4,,185.0,150.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Pavel Kalinchev, Pavel Karachov",,49er,29.0,G,32,,314.0,273.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Fynn Sterritt, James Peters",,49er,18.0,G,7,,199.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Ed Powys, David Evans",,49er,38.0,G,40,,405.0,364.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Diego Botin le Chever, Iago Lopez Marra",,49er,30.0,G,14,,210.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Marcus Hansen, Josh Porebski",,49er,12.0,G,13,,215.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Bradley Funk, Trevor Burd",,49er,35.0,G,25,,254.0,217.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Luca Dubbini, Roberto Dubbini",,49er,32.0,G,34,,312.0,275.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Jacopo Plazzi Marzotto, Umberto Molineris",,49er,13.0,G,23,,236.0,203.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Ryan Seaton, Matthew Mcgovern",,49er,26.0,G,24,,241.0,207.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Giacomo Cavalli, Ruggero Tita",,49er,17.0,G,27,,262.0,223.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Stuart Bithell, John Pink",,49er,31.0,G,8,,200.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 2,0
,,"Manu Dyen, Marc Mallaret",,49er,32.0,G,36,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Anders Thomsen, Jonas Warrer",,49er,4.0,G,11,,216.0,175.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Marcus Hansen, Josh Porebski",,49er,29.0,G,13,,215.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Sébastien SCOTTO DI FASANO, Kevin Fischer",,49er,31.0,G,31,,311.0,270.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Mathieu Frei, Yann Rocherieux",,49er,25.0,G,26,,256.0,219.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Carlos Paz, Luis Bugallo Arriola",,49er,36.0,G,39,,382.0,343.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Julien D'Ortoli, Noe Delpech",,49er,28.0,G,33,,315.0,274.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Federico Alonso Tellechea, Arturo Alonso Tellechea",,49er,37.0,G,21,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,33.0,G,37,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Alain Sign, Dylan Fletcher",,49er,10.0,G,5,,201.0,160.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Giuseppe Angilella, Pietro Zucchetti",,49er,2.0,G,29,,287.0,246.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Pavel Kalinchev, Pavel Karachov",,49er,22.0,G,32,,314.0,273.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Joel Turner, Lewis Brake",,49er,13.0,G,30,,291.0,253.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"James Wierzbowski, William Phillips",,49er,30.0,G,38,,366.0,325.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,24.0,G,15,,224.0,183.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Max Boehme, Justus Schmidt",,49er,6.0,G,6,,203.0,162.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Ed Powys, David Evans",,49er,21.0,G,40,,405.0,364.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Dante Bianchi, Thomas Low-Beer",,49er,26.0,G,35,,315.0,276.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Yukio Makino, Kenji Takahashi",,49er,14.0,G,9,,229.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Bradley Funk, Trevor Burd",,49er,15.0,G,25,,254.0,217.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,20.0,G,19,,238.0,197.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Diego Botin le Chever, Iago Lopez Marra",,49er,11.0,G,14,,210.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Blair Tuke, Peter Burling",,49er,1.0,G,1,,70.0,49.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Erik Heil, Thomas Ploessel",,49er,41.0,G,3,,185.0,144.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Petar Cupac, Pavle Kostov",,49er,41.0,G,22,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Victor Vasternas, Victor Bergström",,49er,35.0,G,28,,265.0,229.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Carl P Sylvan, Otto Hamel",,49er,27.0,G,12,,210.0,177.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Giacomo Cavalli, Ruggero Tita",,49er,18.0,G,27,,262.0,223.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Fynn Sterritt, James Peters",,49er,12.0,G,7,,199.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Stuart Bithell, John Pink",,49er,34.0,G,8,,200.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Nathan Outteridge, Iain Jensen",,49er,16.0,G,2,,131.0,98.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Ryan Seaton, Matthew Mcgovern",,49er,17.0,G,24,,241.0,207.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Jorge Lima, Jose Costa",,49er,19.0,G,10,,221.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Murci Siffeutte Grual, Gubreal Birgas",,49er,41.0,G,18,,229.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Klaus Lange, Yago Lange",,49er,23.0,G,20,,240.0,199.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Andrea Tesei, Stefano Cherin",,49er,7.0,G,17,,222.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,9.0,G,16,,215.0,184.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Jacopo Plazzi Marzotto, Umberto Molineris",,49er,3.0,G,23,,236.0,203.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Rhys Mara, David Gilmour",,49er,5.0,G,4,,185.0,150.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Luca Dubbini, Roberto Dubbini",,49er,8.0,G,34,,312.0,275.0,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,"Marcus Hansen, Josh Porebski",,49er,16.0,G,13,,215.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Giuseppe Angilella, Pietro Zucchetti",,49er,37.0,G,29,,287.0,246.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Blair Tuke, Peter Burling",,49er,1.0,G,1,,70.0,49.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,35.0,G,37,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,25.0,G,19,,238.0,197.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Mathieu Frei, Yann Rocherieux",,49er,28.0,G,26,,256.0,219.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Petar Cupac, Pavle Kostov",,49er,21.0,G,22,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Dante Bianchi, Thomas Low-Beer",,49er,20.0,G,35,,315.0,276.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Andrea Tesei, Stefano Cherin",,49er,24.0,G,17,,222.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Federico Alonso Tellechea, Arturo Alonso Tellechea",,49er,30.0,G,21,,242.0,201.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Giacomo Cavalli, Ruggero Tita",,49er,29.0,G,27,,262.0,223.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Bradley Funk, Trevor Burd",,49er,23.0,G,25,,254.0,217.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Ed Powys, David Evans",,49er,39.0,G,40,,405.0,364.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Klaus Lange, Yago Lange",,49er,11.0,G,20,,240.0,199.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,13.0,G,16,,215.0,184.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Diego Botin le Chever, Iago Lopez Marra",,49er,27.0,G,14,,210.0,180.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Jacopo Plazzi Marzotto, Umberto Molineris",,49er,10.0,G,23,,236.0,203.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Murci Siffeutte Grual, Gubreal Birgas",,49er,22.0,G,18,,229.0,188.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Joel Turner, Lewis Brake",,49er,7.0,G,30,,291.0,253.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Max Boehme, Justus Schmidt",,49er,2.0,G,6,,203.0,162.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Erik Heil, Thomas Ploessel",,49er,5.0,G,3,,185.0,144.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Carlos Paz, Luis Bugallo Arriola",,49er,38.0,G,39,,382.0,343.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Carl P Sylvan, Otto Hamel",,49er,8.0,G,12,,210.0,177.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Sébastien SCOTTO DI FASANO, Kevin Fischer",,49er,33.0,G,31,,311.0,270.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Jorge Lima, Jose Costa",,49er,26.0,G,10,,221.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Manu Dyen, Marc Mallaret",,49er,36.0,G,36,,339.0,298.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Fynn Sterritt, James Peters",,49er,18.0,G,7,,199.0,166.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Nathan Outteridge, Iain Jensen",,49er,12.0,G,2,,131.0,98.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Luca Dubbini, Roberto Dubbini",,49er,32.0,G,34,,312.0,275.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Victor Vasternas, Victor Bergström",,49er,6.0,G,28,,265.0,229.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,4.0,G,15,,224.0,183.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Julien D'Ortoli, Noe Delpech",,49er,14.0,G,33,,315.0,274.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Ryan Seaton, Matthew Mcgovern",,49er,9.0,G,24,,241.0,207.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Alain Sign, Dylan Fletcher",,49er,15.0,G,5,,201.0,160.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Rhys Mara, David Gilmour",,49er,19.0,G,4,,185.0,150.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Anders Thomsen, Jonas Warrer",,49er,3.0,G,11,,216.0,175.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
,,"Yukio Makino, Kenji Takahashi",,49er,34.0,G,9,,229.0,191.0,Semaine Olympique Francaise De Voile 2015,Race 5,0
