Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Anton DAHLBERGLovisa KARLSSON ,,470,2,G,1,,71,53,European Championship 2022,1
,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,53,European Championship 2022,2
,,Anton DAHLBERGLovisa KARLSSON ,,470,5,G,1,,71,53,European Championship 2022,3
,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,53,European Championship 2022,4
,,Anton DAHLBERGLovisa KARLSSON ,,470,4,G,1,,71,53,European Championship 2022,5
,,Anton DAHLBERGLovisa KARLSSON ,,470,11,O,1,,71,53,European Championship 2022,6
,,Anton DAHLBERGLovisa KARLSSON ,,470,(18),O,1,,71,53,European Championship 2022,7
,,Anton DAHLBERGLovisa KARLSSON ,,470,2,O,1,,71,53,European Championship 2022,8
,,Anton DAHLBERGLovisa KARLSSON ,,470,1,O,1,,71,53,European Championship 2022,9
,,Anton DAHLBERGLovisa KARLSSON ,,470,8,O,1,,71,53,European Championship 2022,10
,,Anton DAHLBERGLovisa KARLSSON ,,470,2,O,1,,71,53,European Championship 2022,11
,,Anton DAHLBERGLovisa KARLSSON ,,470,16,Medal Race,1,,71,53,European Championship 2022,12
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,1,G,2,,75,61,European Championship 2022,1
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,2,G,2,,75,61,European Championship 2022,2
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,1,G,2,,75,61,European Championship 2022,3
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,6,G,2,,75,61,European Championship 2022,4
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,3,G,2,,75,61,European Championship 2022,5
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,10,O,2,,75,61,European Championship 2022,6
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,3,O,2,,75,61,European Championship 2022,7
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,3,O,2,,75,61,European Championship 2022,8
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,(14),O,2,,75,61,European Championship 2022,9
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,13,O,2,,75,61,European Championship 2022,10
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,1,O,2,,75,61,European Championship 2022,11
,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,18,Medal Race,2,,75,61,European Championship 2022,12
,,Giacomo  FERRARI Bianca CARUSO ,,470,7,G,3,,86,66,European Championship 2022,1
,,Giacomo  FERRARI Bianca CARUSO ,,470,7,G,3,,86,66,European Championship 2022,2
,,Giacomo  FERRARI Bianca CARUSO ,,470,4,G,3,,86,66,European Championship 2022,3
,,Giacomo  FERRARI Bianca CARUSO ,,470,10,G,3,,86,66,European Championship 2022,4
,,Giacomo  FERRARI Bianca CARUSO ,,470,2,G,3,,86,66,European Championship 2022,5
,,Giacomo  FERRARI Bianca CARUSO ,,470,3,O,3,,86,66,European Championship 2022,6
,,Giacomo  FERRARI Bianca CARUSO ,,470,5,O,3,,86,66,European Championship 2022,7
,,Giacomo  FERRARI Bianca CARUSO ,,470,7,O,3,,86,66,European Championship 2022,8
,,Giacomo  FERRARI Bianca CARUSO ,,470,(20),O,3,,86,66,European Championship 2022,9
,,Giacomo  FERRARI Bianca CARUSO ,,470,4,O,3,,86,66,European Championship 2022,10
,,Giacomo  FERRARI Bianca CARUSO ,,470,9,O,3,,86,66,European Championship 2022,11
,,Giacomo  FERRARI Bianca CARUSO ,,470,8,Medal Race,3,,86,66,European Championship 2022,12
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,3,G,4,,92,70,European Championship 2022,1
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,10,G,4,,92,70,European Championship 2022,2
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,G,4,,92,70,European Championship 2022,3
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,G,4,,92,70,European Championship 2022,4
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,6,G,4,,92,70,European Championship 2022,5
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,16,O,4,,92,70,European Championship 2022,6
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,(22),O,4,,92,70,European Championship 2022,7
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,1,O,4,,92,70,European Championship 2022,8
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,6,O,4,,92,70,European Championship 2022,9
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,16,O,4,,92,70,European Championship 2022,10
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,6,O,4,,92,70,European Championship 2022,11
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,Medal Race,4,,92,70,European Championship 2022,12
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,4,G,5,,90,72,European Championship 2022,1
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,2,G,5,,90,72,European Championship 2022,2
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,1,G,5,,90,72,European Championship 2022,3
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,5,G,5,,90,72,European Championship 2022,4
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,8,G,5,,90,72,European Championship 2022,5
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,9,O,5,,90,72,European Championship 2022,6
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,1,O,5,,90,72,European Championship 2022,7
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,(18),O,5,,90,72,European Championship 2022,8
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,5,O,5,,90,72,European Championship 2022,9
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,10,O,5,,90,72,European Championship 2022,10
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,17,O,5,,90,72,European Championship 2022,11
,,Silvia MAS DEPARESNicolás  RODRÍGUEZ GARCÍA-PAZ ,,470,10,Medal Race,5,,90,72,European Championship 2022,12
,,Nitai HASSONNoa  LASRY ,,470,9,G,6,,90,73,European Championship 2022,1
,,Nitai HASSONNoa  LASRY ,,470,3,G,6,,90,73,European Championship 2022,2
,,Nitai HASSONNoa  LASRY ,,470,3,G,6,,90,73,European Championship 2022,3
,,Nitai HASSONNoa  LASRY ,,470,5,G,6,,90,73,European Championship 2022,4
,,Nitai HASSONNoa  LASRY ,,470,6,G,6,,90,73,European Championship 2022,5
,,Nitai HASSONNoa  LASRY ,,470,(17),O,6,,90,73,European Championship 2022,6
,,Nitai HASSONNoa  LASRY ,,470,14,O,6,,90,73,European Championship 2022,7
,,Nitai HASSONNoa  LASRY ,,470,6,O,6,,90,73,European Championship 2022,8
,,Nitai HASSONNoa  LASRY ,,470,11,O,6,,90,73,European Championship 2022,9
,,Nitai HASSONNoa  LASRY ,,470,7,O,6,,90,73,European Championship 2022,10
