Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Dilara Uralp Palombo,,IQFOIL Fem. ,3,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Miki Yamabe,,IQFOIL Fem. ,19,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Merve Vatan,,IQFOIL Fem. ,7,aa,7,,167,101,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Yuki Sunaga,,IQFOIL Fem. ,6,aa,6,,141,89,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Kristyna Pinosova,,IQFOIL Fem. ,5,aa,5,,78,36,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Rina Niijima,,IQFOIL Fem. ,2,aa,2,,122,75,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Katerina Altmannova,,IQFOIL Fem. ,10,aa,10,,111,73,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Katerina Svikova,,IQFOIL Fem. ,4,aa,4,,85,52,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Lina Erzen,,IQFOIL Fem. ,8,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Barbora Svikova,,IQFOIL Fem. ,1,aa,1,,61,33,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Laerke Buhl-Hansen,,IQFOIL Fem. ,3,aa,3,,27,12,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Dilara Uralp Palombo,,IQFOIL Fem. ,9,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,MR(pos),0
,,Katerina Svikova,,IQFOIL Fem. ,6,aa,4,,85,52,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Demita Vega,,IQFOIL Fem. ,20,aa,21,,277,208,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Katerina Altmannova,,IQFOIL Fem. ,9,aa,10,,111,73,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Lina Erzen,,IQFOIL Fem. ,18,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Samantha Costin,,IQFOIL Fem. ,15,aa,14,,190,127,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Bryn Muller,,IQFOIL Fem. ,17,aa,18,,233,164,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Yuki Sunaga,,IQFOIL Fem. ,7,aa,6,,141,89,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Merve Vatan,,IQFOIL Fem. ,13,aa,7,,167,101,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Barbora Svikova,,IQFOIL Fem. ,4,aa,1,,61,33,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Ambar Papazian,,IQFOIL Fem. ,10,aa,13,,178,119,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Rina Niijima,,IQFOIL Fem. ,8,aa,2,,122,75,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Kristýna Chalupníková,,IQFOIL Fem. ,23,aa,20,,269,200,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Megumi Komine,,IQFOIL Fem. ,12,aa,16,,203,142,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Cristina Ortiz Vivas,,IQFOIL Fem. ,23,aa,22,,288,219,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Dilara Uralp Palombo,,IQFOIL Fem. ,5,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Nela Sadílková,,IQFOIL Fem. ,14,aa,15,,182,130,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Junna Watanabe,,IQFOIL Fem. ,16,aa,17,,232,163,Semaine Olympique Francaise De Voile 2023,8(CR),0
