Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Marija Dolenc,,Formula Kite Fem.,26,G,46,,169,117,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Dominika Braunova,,Formula Kite Fem.,26,G,47,,177,125,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Zoe Boutang,,Formula Kite Fem.,16,G,31,,87,52,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Mafalda Pires de Lima,,Formula Kite Fem.,16,G,37,,114,70,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Madeleine Anderson,,Formula Kite Fem.,12,G,9,,152,102,Semaine Olympique Francaise De Voile 2023,7F,0
,,Poema Newland,,Formula Kite Fem.,4,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,7F,0
,,Carmen Verdeyen,,Formula Kite Fem.,26,G,48,,178,126,Semaine Olympique Francaise De Voile 2023,7F,0
,,Gal Zukerman,,Formula Kite Fem.,13,G,16,,208,147,Semaine Olympique Francaise De Voile 2023,7F,0
,,Justina Kitchen,,Formula Kite Fem.,4,G,28,,61,34,Semaine Olympique Francaise De Voile 2023,7F,0
,,Daniela Moroz,,Formula Kite Fem.,3,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,7F,0
,,Maya Ashkenazi,,Formula Kite Fem.,16,G,21,,262,197,Semaine Olympique Francaise De Voile 2023,7F,0
,,Si Wang,,Formula Kite Fem.,11,G,17,,213,157,Semaine Olympique Francaise De Voile 2023,7F,0
,,Marie-Eve Mayrand,,Formula Kite Fem.,15,G,44,,152,100,Semaine Olympique Francaise De Voile 2023,7F,0
,,Maria Catalina Turienzo,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,7F,0
,,Alexia Fancelli,,Formula Kite Fem.,17,G,19,,230,177,Semaine Olympique Francaise De Voile 2023,7F,0
,,Derin Deniz Sorguc,,Formula Kite Fem.,14,G,38,,107,73,Semaine Olympique Francaise De Voile 2023,7F,0
,,Derin Atakan,,Formula Kite Fem.,9,G,30,,81,51,Semaine Olympique Francaise De Voile 2023,7F,0
,,Karolina Larsson,,Formula Kite Fem.,26,G,42,,135,89,Semaine Olympique Francaise De Voile 2023,7F,0
,,Leonie Meyer,,Formula Kite Fem.,9,G,13,,183,127,Semaine Olympique Francaise De Voile 2023,7F,0
,,Katie Dabson,,Formula Kite Fem.,8,G,6,,89,61,Semaine Olympique Francaise De Voile 2023,7F,0
,,Izabela Satrjan,,Formula Kite Fem.,25,G,24,,307,241,Semaine Olympique Francaise De Voile 2023,7F,0
,,Alina Kornelli,,Formula Kite Fem.,15,G,15,,207,144,Semaine Olympique Francaise De Voile 2023,7F,0
,,Breiana Whitehead,,Formula Kite Fem.,19,G,10,,165,112,Semaine Olympique Francaise De Voile 2023,7F,0
,,Suofeiya Li,,Formula Kite Fem.,26,G,41,,129,82,Semaine Olympique Francaise De Voile 2023,7F,0
,,Eleanor Aldridge,,Formula Kite Fem.,5,G,4,,86,38,Semaine Olympique Francaise De Voile 2023,7F,0
,,Lilou BALANCA,,Formula Kite Fem.,17,G,43,,143,91,Semaine Olympique Francaise De Voile 2023,7F,0
,,Benyapa Jantawan,,Formula Kite Fem.,16,G,40,,118,79,Semaine Olympique Francaise De Voile 2023,7F,0
,,Jemima Crathorne,,Formula Kite Fem.,23,G,23,,270,213,Semaine Olympique Francaise De Voile 2023,7F,0
,,Jingyue Chen,,Formula Kite Fem.,10,G,12,,171,120,Semaine Olympique Francaise De Voile 2023,7F,0
,,Heloise Pegourie,,Formula Kite Fem.,21,G,22,,276,211,Semaine Olympique Francaise De Voile 2023,7F,0
,,Gisela Pulido Borrell,,Formula Kite Fem.,20,G,11,,188,117,Semaine Olympique Francaise De Voile 2023,7F,0
,,Lysa Caval,,Formula Kite Fem.,3,G,27,,69,30,Semaine Olympique Francaise De Voile 2023,7F,0
,,Wan Li,,Formula Kite Fem.,22,G,14,,199,143,Semaine Olympique Francaise De Voile 2023,7F,0
,,Monika Zizlavska,,Formula Kite Fem.,18,G,45,,152,100,Semaine Olympique Francaise De Voile 2023,7F,0
,,Mafalda Pires de Lima,,Formula Kite Fem.,10,G,37,,114,70,Semaine Olympique Francaise De Voile 2023,7F,0
,,Dominika Braunova,,Formula Kite Fem.,26,G,47,,177,125,Semaine Olympique Francaise De Voile 2023,7F,0
,,Chloe Revil,,Formula Kite Fem.,7,G,32,,92,54,Semaine Olympique Francaise De Voile 2023,7F,0
,,TIANA LAPORTE,,Formula Kite Fem.,24,G,25,,308,245,Semaine Olympique Francaise De Voile 2023,7F,0
,,Jessie Kampman,,Formula Kite Fem.,2,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,7F,0
,,Sofia Tomasoni,,Formula Kite Fem.,14,G,18,,236,173,Semaine Olympique Francaise De Voile 2023,7F,0
,,liu chenxue,,Formula Kite Fem.,5,G,33,,107,55,Semaine Olympique Francaise De Voile 2023,7F,0
,,Marija Dolenc,,Formula Kite Fem.,26,G,46,,169,117,Semaine Olympique Francaise De Voile 2023,7F,0
,,Anais Mai Desjardins,,Formula Kite Fem.,8,G,34,,83,56,Semaine Olympique Francaise De Voile 2023,7F,0
,,Lauriane Nolot,,Formula Kite Fem.,1,G,1,,64,34,Semaine Olympique Francaise De Voile 2023,7F,0
,,Julia Damasiewicz,,Formula Kite Fem.,18,G,20,,238,187,Semaine Olympique Francaise De Voile 2023,7F,0
,,Annelous Lammerts,,Formula Kite Fem.,6,G,8,,149,107,Semaine Olympique Francaise De Voile 2023,7F,0
,,Maria Do Socorro Vasconcelos Reis,,Formula Kite Fem.,12,G,36,,106,63,Semaine Olympique Francaise De Voile 2023,7F,0
,,Maggie Eillen Pescetto,,Formula Kite Fem.,1,G,26,,81,29,Semaine Olympique Francaise De Voile 2023,7F,0
,,Zoe Boutang,,Formula Kite Fem.,6,G,31,,87,52,Semaine Olympique Francaise De Voile 2023,7F,0
,,Kimberley Rijsbergen,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,7F,0
,,Noora Ruskola,,Formula Kite Fem.,11,G,35,,98,58,Semaine Olympique Francaise De Voile 2023,7F,0
,,Elena Lengwiler,,Formula Kite Fem.,2,G,29,,87,42,Semaine Olympique Francaise De Voile 2023,7F,0
,,Lily Young,,Formula Kite Fem.,7,G,7,,139,91,Semaine Olympique Francaise De Voile 2023,7F,0
,,Marina Vodisek,,Formula Kite Fem.,13,G,39,,115,74,Semaine Olympique Francaise De Voile 2023,7F,0
,,Maria Do Socorro Vasconcelos Reis,,Formula Kite Fem.,17,G,36,,106,63,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Elena Lengwiler,,Formula Kite Fem.,10,G,29,,87,42,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Kimberley Rijsbergen,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Maria Catalina Turienzo,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Alina Kornelli,,Formula Kite Fem.,6,G,15,,207,144,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Monika Zizlavska,,Formula Kite Fem.,21,G,45,,152,100,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Poema Newland,,Formula Kite Fem.,2,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Marina Vodisek,,Formula Kite Fem.,20,G,39,,115,74,Semaine Olympique Francaise De Voile 2023,1Q,0
,,TIANA LAPORTE,,Formula Kite Fem.,12,G,25,,308,245,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Lilou BALANCA,,Formula Kite Fem.,26,G,43,,143,91,Semaine Olympique Francaise De Voile 2023,1Q,0
,,liu chenxue,,Formula Kite Fem.,26,G,33,,107,55,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Carmen Verdeyen,,Formula Kite Fem.,22,G,48,,178,126,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Sofia Tomasoni,,Formula Kite Fem.,4,G,18,,236,173,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Maggie Eillen Pescetto,,Formula Kite Fem.,26,G,26,,81,29,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Karolina Larsson,,Formula Kite Fem.,20,G,42,,135,89,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Chloe Revil,,Formula Kite Fem.,18,G,32,,92,54,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Izabela Satrjan,,Formula Kite Fem.,15,G,24,,307,241,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Derin Atakan,,Formula Kite Fem.,14,G,30,,81,51,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Marija Dolenc,,Formula Kite Fem.,26,G,46,,169,117,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Heloise Pegourie,,Formula Kite Fem.,11,G,22,,276,211,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Justina Kitchen,,Formula Kite Fem.,15,G,28,,61,34,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Maya Ashkenazi,,Formula Kite Fem.,8,G,21,,262,197,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Lauriane Nolot,,Formula Kite Fem.,3,G,1,,64,34,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Wan Li,,Formula Kite Fem.,8,G,14,,199,143,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Eleanor Aldridge,,Formula Kite Fem.,3,G,4,,86,38,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Leonie Meyer,,Formula Kite Fem.,12,G,13,,183,127,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Lily Young,,Formula Kite Fem.,7,G,7,,139,91,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Alexia Fancelli,,Formula Kite Fem.,14,G,19,,230,177,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Zoe Boutang,,Formula Kite Fem.,19,G,31,,87,52,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Benyapa Jantawan,,Formula Kite Fem.,19,G,40,,118,79,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Mafalda Pires de Lima,,Formula Kite Fem.,18,G,37,,114,70,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Gal Zukerman,,Formula Kite Fem.,6,G,16,,208,147,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Jemima Crathorne,,Formula Kite Fem.,9,G,23,,270,213,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Katie Dabson,,Formula Kite Fem.,4,G,6,,89,61,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Dominika Braunova,,Formula Kite Fem.,21,G,47,,177,125,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Julia Damasiewicz,,Formula Kite Fem.,5,G,20,,238,187,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Jessie Kampman,,Formula Kite Fem.,1,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Derin Deniz Sorguc,,Formula Kite Fem.,16,G,38,,107,73,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Anais Mai Desjardins,,Formula Kite Fem.,13,G,34,,83,56,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Lysa Caval,,Formula Kite Fem.,10,G,27,,69,30,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Suofeiya Li,,Formula Kite Fem.,17,G,41,,129,82,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Gisela Pulido Borrell,,Formula Kite Fem.,11,G,11,,188,117,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Annelous Lammerts,,Formula Kite Fem.,9,G,8,,149,107,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Si Wang,,Formula Kite Fem.,13,G,17,,213,157,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Madeleine Anderson,,Formula Kite Fem.,2,G,9,,152,102,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Daniela Moroz,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Noora Ruskola,,Formula Kite Fem.,16,G,35,,98,58,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Marie-Eve Mayrand,,Formula Kite Fem.,26,G,44,,152,100,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Breiana Whitehead,,Formula Kite Fem.,7,G,10,,165,112,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Jingyue Chen,,Formula Kite Fem.,5,G,12,,171,120,Semaine Olympique Francaise De Voile 2023,1Q,0
,,Poema Newland,,Formula Kite Fem.,3,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,4Q,0
,,liu chenxue,,Formula Kite Fem.,26,G,33,,107,55,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Monika Zizlavska,,Formula Kite Fem.,21,G,45,,152,100,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Marija Dolenc,,Formula Kite Fem.,26,G,46,,169,117,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Noora Ruskola,,Formula Kite Fem.,16,G,35,,98,58,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Maria Catalina Turienzo,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Jessie Kampman,,Formula Kite Fem.,2,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Jemima Crathorne,,Formula Kite Fem.,8,G,23,,270,213,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Alexia Fancelli,,Formula Kite Fem.,10,G,19,,230,177,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Marina Vodisek,,Formula Kite Fem.,20,G,39,,115,74,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Heloise Pegourie,,Formula Kite Fem.,9,G,22,,276,211,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Mafalda Pires de Lima,,Formula Kite Fem.,15,G,37,,114,70,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Maggie Eillen Pescetto,,Formula Kite Fem.,12,G,26,,81,29,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Suofeiya Li,,Formula Kite Fem.,21,G,41,,129,82,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Lysa Caval,,Formula Kite Fem.,26,G,27,,69,30,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Lily Young,,Formula Kite Fem.,5,G,7,,139,91,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Zoe Boutang,,Formula Kite Fem.,13,G,31,,87,52,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Derin Atakan,,Formula Kite Fem.,15,G,30,,81,51,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Kimberley Rijsbergen,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Derin Deniz Sorguc,,Formula Kite Fem.,16,G,38,,107,73,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Marie-Eve Mayrand,,Formula Kite Fem.,26,G,44,,152,100,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Chloe Revil,,Formula Kite Fem.,20,G,32,,92,54,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Justina Kitchen,,Formula Kite Fem.,11,G,28,,61,34,Semaine Olympique Francaise De Voile 2023,4Q,0
,,TIANA LAPORTE,,Formula Kite Fem.,12,G,25,,308,245,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Wan Li,,Formula Kite Fem.,7,G,14,,199,143,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Lilou BALANCA,,Formula Kite Fem.,18,G,43,,143,91,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Maya Ashkenazi,,Formula Kite Fem.,14,G,21,,262,197,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Carmen Verdeyen,,Formula Kite Fem.,26,G,48,,178,126,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Gisela Pulido Borrell,,Formula Kite Fem.,6,G,11,,188,117,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Si Wang,,Formula Kite Fem.,9,G,17,,213,157,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Benyapa Jantawan,,Formula Kite Fem.,17,G,40,,118,79,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Karolina Larsson,,Formula Kite Fem.,19,G,42,,135,89,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Daniela Moroz,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Izabela Satrjan,,Formula Kite Fem.,8,G,24,,307,241,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Elena Lengwiler,,Formula Kite Fem.,19,G,29,,87,42,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Dominika Braunova,,Formula Kite Fem.,26,G,47,,177,125,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Gal Zukerman,,Formula Kite Fem.,10,G,16,,208,147,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Julia Damasiewicz,,Formula Kite Fem.,3,G,20,,238,187,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Katie Dabson,,Formula Kite Fem.,7,G,6,,89,61,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Anais Mai Desjardins,,Formula Kite Fem.,13,G,34,,83,56,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Breiana Whitehead,,Formula Kite Fem.,14,G,10,,165,112,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Alina Kornelli,,Formula Kite Fem.,18,G,15,,207,144,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Leonie Meyer,,Formula Kite Fem.,6,G,13,,183,127,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Eleanor Aldridge,,Formula Kite Fem.,4,G,4,,86,38,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Annelous Lammerts,,Formula Kite Fem.,4,G,8,,149,107,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Sofia Tomasoni,,Formula Kite Fem.,11,G,18,,236,173,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Jingyue Chen,,Formula Kite Fem.,5,G,12,,171,120,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Lauriane Nolot,,Formula Kite Fem.,2,G,1,,64,34,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Maria Do Socorro Vasconcelos Reis,,Formula Kite Fem.,17,G,36,,106,63,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Madeleine Anderson,,Formula Kite Fem.,1,G,9,,152,102,Semaine Olympique Francaise De Voile 2023,4Q,0
,,Chloe Revil,,Formula Kite Fem.,4,G,32,,92,54,Semaine Olympique Francaise De Voile 2023,6F,0
