Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,SCOTT/HUME,,470,23,G,53,,224,192,World Championship 2023,Race 5 Blue,0
,,GIANNOULIS/GIANNOULI,,470,16,G,58,,258,226,World Championship 2023,Race 5 Blue,0
,,BRISTOW/TAYLOR,,470,19,G,38,,137,116,World Championship 2023,Race 5 Blue,0
,,DAHLBERG/KARLSSON,,470,11,G,6,,118,95,World Championship 2023,Race 5 Blue,0
,,NORDSTROM/BORNARTH,,470,15,G,21,,176,144,World Championship 2023,Race 5 Blue,0
,,LEIGH/ORR,,470,12,G,25,,191,161,World Championship 2023,Race 5 Blue,0
,,PAPPA/MICHALOPOULOS,,470,21,G,39,,158,134,World Championship 2023,Race 5 Blue,0
,,KONGARA/SHEKHAR,,470,25,G,56,,249,216,World Championship 2023,Race 5 Blue,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,8,G,29,,215,182,World Championship 2023,Race 5 Blue,0
,,RENNIE-YOUNGER/McGLASHAN,,470,24,G,60,,262,229,World Championship 2023,Race 5 Blue,0
,,LOFFLER/HOERR,,470,7,G,17,,161,134,World Championship 2023,Race 5 Blue,0
,,WINKEL/WINKEL,,470,5,G,5,,110,94,World Championship 2023,Race 5 Blue,0
,,ZEGERS/van VUGT,,470,29,G,35,,116,87,World Championship 2023,Race 5 Blue,1
,,PAWLOWSKA/SZLIJA,,470,33,G,46,,193,160,World Championship 2023,Race 5 Blue,0
,,OKADA/YOSHIOKA,,470,4,G,1,,74,50,World Championship 2023,Race 2 Blue,0
,,FERRARI/CARUSO,,470,15,G,19,,173,139,World Championship 2023,Race 2 Blue,0
,,SAMARZIJA/SCHEIDL,,470,26,G,62,,285,252,World Championship 2023,Race 2 Blue,0
,,TULCALI/DANISMEND,,470,2,G,31,,235,202,World Championship 2023,Race 2 Blue,0
,,HASSON/LASRY,,470,6,G,7,,131,98,World Championship 2023,Race 2 Blue,0
,,TAKAYAMA/MORITA,,470,13,G,24,,191,160,World Championship 2023,Race 2 Blue,0
,,FRAS/SKERLAVAJ,,470,30,G,61,,267,237,World Championship 2023,Race 2 Blue,1
,,DONNER/HABERL,,470,9,G,45,,179,151,World Championship 2023,Race 2 Blue,0
,,RENNIE-YOUNGER/McGLASHAN,,470,32,G,60,,262,229,World Championship 2023,Race 2 Blue,0
,,THAMSOONTORN/KHEMKAEW,,470,29,G,49,,210,181,World Championship 2023,Race 2 Blue,1
,,ZEGERS/van VUGT,,470,16,G,35,,116,87,World Championship 2023,Race 2 Blue,0
,,XU/TU,,470,1,G,16,,143,119,World Championship 2023,Race 2 Blue,0
,,GAGO/PIRES,,470,25,G,34,,111,86,World Championship 2023,Race 2 Blue,1
,,PENNANEAC'H/WILLIOT,,470,31,G,42,,174,142,World Championship 2023,Race 2 Blue,0
,,CINAR/ASLAN,,470,5,G,22,,184,155,World Championship 2023,Race 2 Blue,0
,,FAHRNI/SCHUPBACH,,470,22,G,40,,163,138,World Championship 2023,Race 2 Blue,0
,,KORSAK/BORYS,,470,12,G,47,,203,173,World Championship 2023,Race 2 Blue,0
,,WINKEL/WINKEL,,470,14,G,5,,110,94,World Championship 2023,Race 2 Blue,0
,,WANSER/AUTENRIETH,,470,3,G,9,,135,114,World Championship 2023,Race 2 Blue,0
,,DAHNKE/CIPRA,,470,23,G,26,,194,161,World Championship 2023,Race 2 Blue,0
,,BRISTOW/TAYLOR,,470,21,G,38,,137,116,World Championship 2023,Race 2 Blue,1
,,KONDO YOSHIDA/YOSHIDA,,470,7,G,28,,212,178,World Championship 2023,Race 2 Blue,0
,,TAVELLA/DIETRICH,,470,19,G,33,,259,226,World Championship 2023,Race 2 Blue,0
,,PAPPA/MICHALOPOULOS,,470,20,G,39,,158,134,World Championship 2023,Race 2 Blue,0
,,PASZEK/LASKOWSKA,,470,10,G,54,,223,195,World Championship 2023,Race 2 Blue,0
,,SCOTT/HUME,,470,28,G,53,,224,192,World Championship 2023,Race 2 Blue,0
,,ISOZAKI/SEKI,,470,8,G,3,,112,91,World Championship 2023,Race 2 Blue,0
,,JACOBSEN/FORSLUND,,470,18,G,59,,262,229,World Championship 2023,Race 2 Blue,0
,,PHELAN/BASTIAN,,470,24,G,63,,290,257,World Championship 2023,Race 2 Blue,0
,,le CLECH/RETORNAZ,,470,27,G,30,,227,196,World Championship 2023,Race 2 Blue,0
,,WRIGLEY/HARRIS,,470,17,G,15,,148,115,World Championship 2023,Race 2 Blue,0
,,MERMOD/SIEGENTHALER,,470,11,G,12,,124,101,World Championship 2023,Race 2 Blue,0
,,CINAR/ASLAN,,470,22,G,22,,184,155,World Championship 2023,Race 6 Gold,0
,,LOFFLER/HOERR,,470,27,G,17,,161,134,World Championship 2023,Race 6 Gold,1
,,DUARTE HADDAD/SWAN,,470,25,G,23,,183,157,World Championship 2023,Race 6 Gold,0
,,HASSON/LASRY,,470,19,G,7,,131,98,World Championship 2023,Race 6 Gold,0
,,PACAUD/de GENNES,,470,13,G,14,,142,113,World Championship 2023,Race 6 Gold,0
,,MAS/RODRIGUEZ,,470,15,G,11,,121,99,World Championship 2023,Race 6 Gold,0
,,McNAY/DALLMAN-WEISS,,470,17,G,18,,161,135,World Championship 2023,Race 6 Gold,0
,,WANSER/AUTENRIETH,,470,9,G,9,,135,114,World Championship 2023,Race 6 Gold,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,16,G,29,,215,182,World Championship 2023,Race 6 Gold,0
,,KONDO YOSHIDA/YOSHIDA,,470,20,G,28,,212,178,World Championship 2023,Race 6 Gold,0
,,NORDSTROM/BORNARTH,,470,4,G,21,,176,144,World Championship 2023,Race 6 Gold,0
,,DIESCH/MARKFORT,,470,1,G,8,,122,98,World Championship 2023,Race 6 Gold,0
,,LECOINTRE/MION,,470,6,G,20,,174,141,World Championship 2023,Race 6 Gold,0
,,WRIGLEY/HARRIS,,470,10,G,15,,148,115,World Championship 2023,Race 6 Gold,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,5,G,2,,106,86,World Championship 2023,Race 6 Gold,0
,,FERRARI/CARUSO,,470,34,G,19,,173,139,World Championship 2023,Race 6 Gold,1
,,ISOZAKI/SEKI,,470,11,G,3,,112,91,World Championship 2023,Race 6 Gold,0
,,TAKAYAMA/MORITA,,470,29,G,24,,191,160,World Championship 2023,Race 6 Gold,0
,,DAHLBERG/KARLSSON,,470,12,G,6,,118,95,World Championship 2023,Race 6 Gold,0
,,le CLECH/RETORNAZ,,470,31,G,30,,227,196,World Championship 2023,Race 6 Gold,1
,,MERMOD/SIEGENTHALER,,470,23,G,12,,124,101,World Championship 2023,Race 6 Gold,1
,,DAHNKE/CIPRA,,470,26,G,26,,194,161,World Championship 2023,Race 6 Gold,0
,,OKADA/YOSHIOKA,,470,2,G,1,,74,50,World Championship 2023,Race 6 Gold,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,18,G,32,,243,210,World Championship 2023,Race 6 Gold,0
,,LEIGH/ORR,,470,28,G,25,,191,161,World Championship 2023,Race 6 Gold,0
,,WINKEL/WINKEL,,470,14,G,5,,110,94,World Championship 2023,Race 6 Gold,0
,,VADLAU/MAHR,,470,8,G,4,,112,93,World Championship 2023,Race 6 Gold,0
,,HEATHCOTE/GRUBE,,470,3,G,13,,142,112,World Championship 2023,Race 6 Gold,0
,,XU/TU,,470,7,G,16,,143,119,World Championship 2023,Race 6 Gold,0
,,TULCALI/DANISMEND,,470,30,G,31,,235,202,World Championship 2023,Race 6 Gold,0
,,DONG/WANG,,470,21,G,27,,211,178,World Championship 2023,Race 6 Gold,0
,,COSTA/JOAO,,470,24,G,10,,140,116,World Championship 2023,Race 6 Gold,1
,,TAVELLA/DIETRICH,,470,32,G,33,,259,226,World Championship 2023,Race 6 Gold,0
,,JACKSON/HIGGINS,,470,10,G,50,,216,185,World Championship 2023,Race 11 Silver,0
,,JACOBSEN/FORSLUND,,470,23,G,59,,262,229,World Championship 2023,Race 11 Silver,0
,,GIANNOULIS/GIANNOULI,,470,32,G,58,,258,226,World Championship 2023,Race 11 Silver,0
,,RENNIE-YOUNGER/McGLASHAN,,470,27,G,60,,262,229,World Championship 2023,Race 11 Silver,0
,,KONGARA/SHEKHAR,,470,32,G,56,,249,216,World Championship 2023,Race 11 Silver,0
,,KAMAN SHAH/NOOR JAMALI,,470,1,G,43,,178,149,World Championship 2023,Race 11 Silver,0
,,BRISTOW/TAYLOR,,470,20,G,38,,137,116,World Championship 2023,Race 11 Silver,0
,,GAGO/PIRES,,470,4,G,34,,111,86,World Championship 2023,Race 11 Silver,0
,,RUIZ PONCE/GIL ROIG,,470,17,G,51,,219,187,World Championship 2023,Race 11 Silver,0
,,WORNALL/STREET,,470,24,G,57,,257,225,World Championship 2023,Race 11 Silver,0
,,VERMA/SHARMA,,470,18,G,52,,218,190,World Championship 2023,Race 11 Silver,0
,,COWLES/HUGHES,,470,32,G,55,,239,206,World Championship 2023,Race 11 Silver,0
,,PETRAITYTE/JURGELIONIS,,470,32,G,64,,338,305,World Championship 2023,Race 11 Silver,0
,,PAPPA/MICHALOPOULOS,,470,2,G,39,,158,134,World Championship 2023,Race 11 Silver,0
,,THAMSOONTORN/KHEMKAEW,,470,9,G,49,,210,181,World Championship 2023,Race 11 Silver,0
,,FRAS/SKERLAVAJ,,470,19,G,61,,267,237,World Championship 2023,Race 11 Silver,0
,,DONNER/HABERL,,470,12,G,45,,179,151,World Championship 2023,Race 11 Silver,0
,,JERWOOD/NICHOLAS,,470,8,G,36,,135,102,World Championship 2023,Race 11 Silver,0
,,ZEGERS/van VUGT,,470,5,G,35,,116,87,World Championship 2023,Race 11 Silver,0
,,SAMARZIJA/SCHEIDL,,470,16,G,62,,285,252,World Championship 2023,Race 11 Silver,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,3,G,44,,183,151,World Championship 2023,Race 11 Silver,0
,,PHELAN/BASTIAN,,470,26,G,63,,290,257,World Championship 2023,Race 11 Silver,0
,,SPANAKI/SPANAKIS,,470,7,G,48,,211,178,World Championship 2023,Race 11 Silver,0
,,PASZEK/LASKOWSKA,,470,11,G,54,,223,195,World Championship 2023,Race 11 Silver,0
,,SCOTT/HUME,,470,22,G,53,,224,192,World Championship 2023,Race 11 Silver,0
,,FAHRNI/SCHUPBACH,,470,25,G,40,,163,138,World Championship 2023,Race 11 Silver,1
,,KORSAK/BORYS,,470,13,G,47,,203,173,World Championship 2023,Race 11 Silver,0
,,BERTA/FESTO,,470,15,G,37,,131,105,World Championship 2023,Race 11 Silver,0
,,di SALLE/BELLICO,,470,14,G,41,,173,141,World Championship 2023,Race 11 Silver,0
,,PAWLOWSKA/SZLIJA,,470,21,G,46,,193,160,World Championship 2023,Race 11 Silver,0
,,PENNANEAC'H/WILLIOT,,470,6,G,42,,174,142,World Championship 2023,Race 11 Silver,0
,,GIANNOULIS/GIANNOULI,,470,31,G,58,,258,226,World Championship 2023,Race 2 Yellow,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,20,G,29,,215,182,World Championship 2023,Race 2 Yellow,0
,,PAWLOWSKA/SZLIJA,,470,8,G,46,,193,160,World Championship 2023,Race 2 Yellow,0
,,DAHLBERG/KARLSSON,,470,5,G,6,,118,95,World Championship 2023,Race 2 Yellow,0
,,VERMA/SHARMA,,470,14,G,52,,218,190,World Championship 2023,Race 2 Yellow,0
,,PACAUD/de GENNES,,470,11,G,14,,142,113,World Championship 2023,Race 2 Yellow,0
,,NORDSTROM/BORNARTH,,470,10,G,21,,176,144,World Championship 2023,Race 2 Yellow,0
,,LOFFLER/HOERR,,470,17,G,17,,161,134,World Championship 2023,Race 2 Yellow,0
,,DUARTE HADDAD/SWAN,,470,15,G,23,,183,157,World Championship 2023,Race 2 Yellow,0
,,SPANAKI/SPANAKIS,,470,30,G,48,,211,178,World Championship 2023,Race 2 Yellow,0
,,VADLAU/MAHR,,470,2,G,4,,112,93,World Championship 2023,Race 2 Yellow,0
,,McNAY/DALLMAN-WEISS,,470,7,G,18,,161,135,World Championship 2023,Race 2 Yellow,0
,,MAS/RODRIGUEZ,,470,22,G,11,,121,99,World Championship 2023,Race 2 Yellow,1
,,DIESCH/MARKFORT,,470,9,G,8,,122,98,World Championship 2023,Race 2 Yellow,0
,,WORNALL/STREET,,470,24,G,57,,257,225,World Championship 2023,Race 2 Yellow,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,13,G,2,,106,86,World Championship 2023,Race 2 Yellow,0
,,KAMAN SHAH/NOOR JAMALI,,470,28,G,43,,178,149,World Championship 2023,Race 2 Yellow,0
,,JERWOOD/NICHOLAS,,470,27,G,36,,135,102,World Championship 2023,Race 2 Yellow,0
,,BERTA/FESTO,,470,26,G,37,,131,105,World Championship 2023,Race 2 Yellow,1
,,KONGARA/SHEKHAR,,470,19,G,56,,249,216,World Championship 2023,Race 2 Yellow,0
,,HEATHCOTE/GRUBE,,470,23,G,13,,142,112,World Championship 2023,Race 2 Yellow,0
,,COSTA/JOAO,,470,12,G,10,,140,116,World Championship 2023,Race 2 Yellow,0
,,RUIZ PONCE/GIL ROIG,,470,18,G,51,,219,187,World Championship 2023,Race 2 Yellow,0
,,LEIGH/ORR,,470,1,G,25,,191,161,World Championship 2023,Race 2 Yellow,0
,,di SALLE/BELLICO,,470,29,G,41,,173,141,World Championship 2023,Race 2 Yellow,0
,,PETRAITYTE/JURGELIONIS,,470,32,G,64,,338,305,World Championship 2023,Race 2 Yellow,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,16,G,32,,243,210,World Championship 2023,Race 2 Yellow,0
,,LECOINTRE/MION,,470,4,G,20,,174,141,World Championship 2023,Race 2 Yellow,0
,,JACKSON/HIGGINS,,470,25,G,50,,216,185,World Championship 2023,Race 2 Yellow,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,21,G,44,,183,151,World Championship 2023,Race 2 Yellow,0
,,COWLES/HUGHES,,470,3,G,55,,239,206,World Championship 2023,Race 2 Yellow,0
,,DONG/WANG,,470,6,G,27,,211,178,World Championship 2023,Race 2 Yellow,0
,,KAMAN SHAH/NOOR JAMALI,,470,5,G,43,,178,149,World Championship 2023,Race 6 Silver,0
,,PASZEK/LASKOWSKA,,470,25,G,54,,223,195,World Championship 2023,Race 6 Silver,0
,,JERWOOD/NICHOLAS,,470,1,G,36,,135,102,World Championship 2023,Race 6 Silver,0
,,ZEGERS/van VUGT,,470,2,G,35,,116,87,World Championship 2023,Race 6 Silver,0
,,JACKSON/HIGGINS,,470,19,G,50,,216,185,World Championship 2023,Race 6 Silver,0
,,PAPPA/MICHALOPOULOS,,470,13,G,39,,158,134,World Championship 2023,Race 6 Silver,0
,,SAMARZIJA/SCHEIDL,,470,28,G,62,,285,252,World Championship 2023,Race 6 Silver,0
,,BRISTOW/TAYLOR,,470,7,G,38,,137,116,World Championship 2023,Race 6 Silver,0
,,di SALLE/BELLICO,,470,11,G,41,,173,141,World Championship 2023,Race 6 Silver,0
,,COWLES/HUGHES,,470,32,G,55,,239,206,World Championship 2023,Race 6 Silver,0
,,GAGO/PIRES,,470,4,G,34,,111,86,World Championship 2023,Race 6 Silver,0
,,SPANAKI/SPANAKIS,,470,26,G,48,,211,178,World Championship 2023,Race 6 Silver,0
,,GIANNOULIS/GIANNOULI,,470,18,G,58,,258,226,World Championship 2023,Race 6 Silver,0
,,DONNER/HABERL,,470,6,G,45,,179,151,World Championship 2023,Race 6 Silver,0
,,JACOBSEN/FORSLUND,,470,21,G,59,,262,229,World Championship 2023,Race 6 Silver,0
,,PHELAN/BASTIAN,,470,23,G,63,,290,257,World Championship 2023,Race 6 Silver,0
,,THAMSOONTORN/KHEMKAEW,,470,15,G,49,,210,181,World Championship 2023,Race 6 Silver,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,8,G,44,,183,151,World Championship 2023,Race 6 Silver,0
,,PETRAITYTE/JURGELIONIS,,470,32,G,64,,338,305,World Championship 2023,Race 6 Silver,0
,,BERTA/FESTO,,470,9,G,37,,131,105,World Championship 2023,Race 6 Silver,0
,,KORSAK/BORYS,,470,22,G,47,,203,173,World Championship 2023,Race 6 Silver,0
,,PENNANEAC'H/WILLIOT,,470,10,G,42,,174,142,World Championship 2023,Race 6 Silver,0
,,FRAS/SKERLAVAJ,,470,24,G,61,,267,237,World Championship 2023,Race 6 Silver,0
,,SCOTT/HUME,,470,17,G,53,,224,192,World Championship 2023,Race 6 Silver,0
,,RENNIE-YOUNGER/McGLASHAN,,470,12,G,60,,262,229,World Championship 2023,Race 6 Silver,0
,,KONGARA/SHEKHAR,,470,27,G,56,,249,216,World Championship 2023,Race 6 Silver,0
,,VERMA/SHARMA,,470,20,G,52,,218,190,World Championship 2023,Race 6 Silver,0
,,PAWLOWSKA/SZLIJA,,470,16,G,46,,193,160,World Championship 2023,Race 6 Silver,0
,,RUIZ PONCE/GIL ROIG,,470,14,G,51,,219,187,World Championship 2023,Race 6 Silver,0
,,WORNALL/STREET,,470,32,G,57,,257,225,World Championship 2023,Race 6 Silver,1
,,FAHRNI/SCHUPBACH,,470,3,G,40,,163,138,World Championship 2023,Race 6 Silver,0
,,LEIGH/ORR,,470,4,G,25,,191,161,World Championship 2023,Race 11 Gold,0
,,DUARTE HADDAD/SWAN,,470,6,G,23,,183,157,World Championship 2023,Race 11 Gold,0
,,XU/TU,,470,5,G,16,,143,119,World Championship 2023,Race 11 Gold,0
,,NORDSTROM/BORNARTH,,470,32,G,21,,176,144,World Championship 2023,Race 11 Gold,1
,,COSTA/JOAO,,470,18,G,10,,140,116,World Championship 2023,Race 11 Gold,0
,,HEATHCOTE/GRUBE,,470,10,G,13,,142,112,World Championship 2023,Race 11 Gold,0
,,DAHLBERG/KARLSSON,,470,2,G,6,,118,95,World Championship 2023,Race 11 Gold,0
,,WRIGLEY/HARRIS,,470,23,G,15,,148,115,World Championship 2023,Race 11 Gold,0
,,DIESCH/MARKFORT,,470,24,G,8,,122,98,World Championship 2023,Race 11 Gold,1
,,McNAY/DALLMAN-WEISS,,470,9,G,18,,161,135,World Championship 2023,Race 11 Gold,0
,,TAVELLA/DIETRICH,,470,28,G,33,,259,226,World Championship 2023,Race 11 Gold,0
,,DAHNKE/CIPRA,,470,16,G,26,,194,161,World Championship 2023,Race 11 Gold,0
,,le CLECH/RETORNAZ,,470,27,G,30,,227,196,World Championship 2023,Race 11 Gold,0
,,DONG/WANG,,470,3,G,27,,211,178,World Championship 2023,Race 11 Gold,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,15,G,2,,106,86,World Championship 2023,Race 11 Gold,0
,,MERMOD/SIEGENTHALER,,470,7,G,12,,124,101,World Championship 2023,Race 11 Gold,0
,,TULCALI/DANISMEND,,470,20,G,31,,235,202,World Championship 2023,Race 11 Gold,0
,,ISOZAKI/SEKI,,470,12,G,3,,112,91,World Championship 2023,Race 11 Gold,0
,,LOFFLER/HOERR,,470,11,G,17,,161,134,World Championship 2023,Race 11 Gold,0
,,OKADA/YOSHIOKA,,470,14,G,1,,74,50,World Championship 2023,Race 11 Gold,0
,,HASSON/LASRY,,470,21,G,7,,131,98,World Championship 2023,Race 11 Gold,0
,,WANSER/AUTENRIETH,,470,8,G,9,,135,114,World Championship 2023,Race 11 Gold,0
,,TAKAYAMA/MORITA,,470,29,G,24,,191,160,World Championship 2023,Race 11 Gold,0
,,LECOINTRE/MION,,470,30,G,20,,174,141,World Championship 2023,Race 11 Gold,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,25,G,32,,243,210,World Championship 2023,Race 11 Gold,0
,,FERRARI/CARUSO,,470,32,G,19,,173,139,World Championship 2023,Race 11 Gold,0
,,PACAUD/de GENNES,,470,22,G,14,,142,113,World Championship 2023,Race 11 Gold,0
,,CINAR/ASLAN,,470,19,G,22,,184,155,World Championship 2023,Race 11 Gold,0
,,MAS/RODRIGUEZ,,470,17,G,11,,121,99,World Championship 2023,Race 11 Gold,0
,,KONDO YOSHIDA/YOSHIDA,,470,34,G,28,,212,178,World Championship 2023,Race 11 Gold,1
,,WINKEL/WINKEL,,470,1,G,5,,110,94,World Championship 2023,Race 11 Gold,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,26,G,29,,215,182,World Championship 2023,Race 11 Gold,0
,,VADLAU/MAHR,,470,13,G,4,,112,93,World Championship 2023,Race 11 Gold,0
,,PACAUD/de GENNES,,470,11,G,14,,142,113,World Championship 2023,Race 8 Gold,0
,,KONDO YOSHIDA/YOSHIDA,,470,26,G,28,,212,178,World Championship 2023,Race 8 Gold,0
,,TULCALI/DANISMEND,,470,32,G,31,,235,202,World Championship 2023,Race 8 Gold,0
,,FERRARI/CARUSO,,470,16,G,19,,173,139,World Championship 2023,Race 8 Gold,0
,,DIESCH/MARKFORT,,470,18,G,8,,122,98,World Championship 2023,Race 8 Gold,0
,,MAS/RODRIGUEZ,,470,9,G,11,,121,99,World Championship 2023,Race 8 Gold,0
,,COSTA/JOAO,,470,5,G,10,,140,116,World Championship 2023,Race 8 Gold,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,29,G,32,,243,210,World Championship 2023,Race 8 Gold,0
,,WANSER/AUTENRIETH,,470,10,G,9,,135,114,World Championship 2023,Race 8 Gold,0
,,LECOINTRE/MION,,470,28,G,20,,174,141,World Championship 2023,Race 8 Gold,0
,,McNAY/DALLMAN-WEISS,,470,14,G,18,,161,135,World Championship 2023,Race 8 Gold,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,6,G,29,,215,182,World Championship 2023,Race 8 Gold,0
,,CINAR/ASLAN,,470,15,G,22,,184,155,World Championship 2023,Race 8 Gold,0
,,DAHLBERG/KARLSSON,,470,20,G,6,,118,95,World Championship 2023,Race 8 Gold,0
,,OKADA/YOSHIOKA,,470,1,G,1,,74,50,World Championship 2023,Race 8 Gold,0
,,TAKAYAMA/MORITA,,470,12,G,24,,191,160,World Championship 2023,Race 8 Gold,0
,,XU/TU,,470,19,G,16,,143,119,World Championship 2023,Race 8 Gold,0
,,DONG/WANG,,470,27,G,27,,211,178,World Championship 2023,Race 8 Gold,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,4,G,2,,106,86,World Championship 2023,Race 8 Gold,0
,,LEIGH/ORR,,470,22,G,25,,191,161,World Championship 2023,Race 8 Gold,0
,,ISOZAKI/SEKI,,470,13,G,3,,112,91,World Championship 2023,Race 8 Gold,0
,,le CLECH/RETORNAZ,,470,31,G,30,,227,196,World Championship 2023,Race 8 Gold,0
,,LOFFLER/HOERR,,470,17,G,17,,161,134,World Championship 2023,Race 8 Gold,0
,,TAVELLA/DIETRICH,,470,25,G,33,,259,226,World Championship 2023,Race 8 Gold,0
,,NORDSTROM/BORNARTH,,470,23,G,21,,176,144,World Championship 2023,Race 8 Gold,0
,,WRIGLEY/HARRIS,,470,21,G,15,,148,115,World Championship 2023,Race 8 Gold,0
,,DUARTE HADDAD/SWAN,,470,24,G,23,,183,157,World Championship 2023,Race 8 Gold,0
,,MERMOD/SIEGENTHALER,,470,7,G,12,,124,101,World Championship 2023,Race 8 Gold,0
,,DAHNKE/CIPRA,,470,33,G,26,,194,161,World Championship 2023,Race 8 Gold,1
,,VADLAU/MAHR,,470,8,G,4,,112,93,World Championship 2023,Race 8 Gold,0
,,HASSON/LASRY,,470,2,G,7,,131,98,World Championship 2023,Race 8 Gold,0
,,HEATHCOTE/GRUBE,,470,30,G,13,,142,112,World Championship 2023,Race 8 Gold,1
,,WINKEL/WINKEL,,470,3,G,5,,110,94,World Championship 2023,Race 8 Gold,0
,,SCOTT/HUME,,470,21,G,53,,224,192,World Championship 2023,Race 4 Yellow,0
,,McNAY/DALLMAN-WEISS,,470,11,G,18,,161,135,World Championship 2023,Race 4 Yellow,0
,,GAGO/PIRES,,470,22,G,34,,111,86,World Championship 2023,Race 4 Yellow,0
,,BRISTOW/TAYLOR,,470,18,G,38,,137,116,World Championship 2023,Race 4 Yellow,0
,,HEATHCOTE/GRUBE,,470,2,G,13,,142,112,World Championship 2023,Race 4 Yellow,0
,,KONDO YOSHIDA/YOSHIDA,,470,14,G,28,,212,178,World Championship 2023,Race 4 Yellow,0
,,WINKEL/WINKEL,,470,7,G,5,,110,94,World Championship 2023,Race 4 Yellow,0
,,DONNER/HABERL,,470,28,G,45,,179,151,World Championship 2023,Race 4 Yellow,1
,,PACAUD/de GENNES,,470,9,G,14,,142,113,World Championship 2023,Race 4 Yellow,0
,,RUIZ PONCE/GIL ROIG,,470,26,G,51,,219,187,World Championship 2023,Race 4 Yellow,0
,,FAHRNI/SCHUPBACH,,470,24,G,40,,163,138,World Championship 2023,Race 4 Yellow,0
,,FERRARI/CARUSO,,470,1,G,19,,173,139,World Championship 2023,Race 4 Yellow,0
,,NORDSTROM/BORNARTH,,470,13,G,21,,176,144,World Championship 2023,Race 4 Yellow,0
,,CINAR/ASLAN,,470,12,G,22,,184,155,World Championship 2023,Race 4 Yellow,0
,,WANSER/AUTENRIETH,,470,10,G,9,,135,114,World Championship 2023,Race 4 Yellow,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,4,G,2,,106,86,World Championship 2023,Race 4 Yellow,0
,,JERWOOD/NICHOLAS,,470,3,G,36,,135,102,World Championship 2023,Race 4 Yellow,0
,,PETRAITYTE/JURGELIONIS,,470,33,G,64,,338,305,World Championship 2023,Race 4 Yellow,1
,,MAS/RODRIGUEZ,,470,8,G,11,,121,99,World Championship 2023,Race 4 Yellow,0
,,PAPPA/MICHALOPOULOS,,470,17,G,39,,158,134,World Championship 2023,Race 4 Yellow,0
,,JACOBSEN/FORSLUND,,470,28,G,59,,262,229,World Championship 2023,Race 4 Yellow,0
,,PHELAN/BASTIAN,,470,33,G,63,,290,257,World Championship 2023,Race 4 Yellow,1
,,VERMA/SHARMA,,470,24,G,52,,218,190,World Championship 2023,Race 4 Yellow,0
,,JACKSON/HIGGINS,,470,15,G,50,,216,185,World Championship 2023,Race 4 Yellow,0
,,OKADA/YOSHIOKA,,470,6,G,1,,74,50,World Championship 2023,Race 4 Yellow,0
,,PAWLOWSKA/SZLIJA,,470,33,G,46,,193,160,World Championship 2023,Race 4 Yellow,1
,,ZEGERS/van VUGT,,470,17,G,35,,116,87,World Championship 2023,Race 4 Yellow,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,20,G,29,,215,182,World Championship 2023,Race 4 Yellow,0
,,TULCALI/DANISMEND,,470,25,G,31,,235,202,World Championship 2023,Race 4 Yellow,0
,,KORSAK/BORYS,,470,29,G,47,,203,173,World Championship 2023,Race 4 Yellow,0
,,WORNALL/STREET,,470,19,G,57,,257,225,World Championship 2023,Race 4 Yellow,0
,,WRIGLEY/HARRIS,,470,5,G,15,,148,115,World Championship 2023,Race 4 Yellow,0
,,GIANNOULIS/GIANNOULI,,470,18,G,58,,258,226,World Championship 2023,Race 7 Silver,0
,,KAMAN SHAH/NOOR JAMALI,,470,4,G,43,,178,149,World Championship 2023,Race 7 Silver,0
,,FAHRNI/SCHUPBACH,,470,10,G,40,,163,138,World Championship 2023,Race 7 Silver,0
,,PAPPA/MICHALOPOULOS,,470,14,G,39,,158,134,World Championship 2023,Race 7 Silver,0
,,BERTA/FESTO,,470,1,G,37,,131,105,World Championship 2023,Race 7 Silver,0
,,THAMSOONTORN/KHEMKAEW,,470,11,G,49,,210,181,World Championship 2023,Race 7 Silver,0
,,JACOBSEN/FORSLUND,,470,32,G,59,,262,229,World Championship 2023,Race 7 Silver,0
,,di SALLE/BELLICO,,470,32,G,41,,173,141,World Championship 2023,Race 7 Silver,1
