Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
BECKETT Michael,,Ilca 7,1.0,O,1,,43.0,23.0,European Championship 2021,Q1
JURISIC Filip,,Ilca 7,3.0,O,2,,71.0,39.0,European Championship 2021,Q1
VADNAI Jonatan,,Ilca 7,13.0,O,3,,75.0,43.0,European Championship 2021,Q1
NIKOLAEV Maxim,,Ilca 7,(16.0),O,4,,78.8,44.8,European Championship 2021,Q1
KONTIDES Pavlos,,Ilca 7,2.0,O,5,,72.0,47.0,European Championship 2021,Q1
CHIAVARINI Lorenzo Brando,,Ilca 7,11.0,O,6,,85.0,55.0,European Championship 2021,Q1
LYNCH Finn,,Ilca 7,6.0,O,7,,153.0,64.0,European Championship 2021,Q1
BOS Duko,,Ilca 7,(22.0),O,8,,115.0,70.0,European Championship 2021,Q1
VAN LAER Wannes,,Ilca 7,7.0,O,9,,134.0,87.0,European Championship 2021,Q1
DE SMET William,,Ilca 7,15.0,O,10,,143.0,96.0,European Championship 2021,Q1
SPADONI Alessio,,Ilca 7,(33.0),O,11,,182.0,99.0,European Championship 2021,Q1
BROEKHUIZEN Niels,,Ilca 7,10.0,O,12,,159.0,103.0,European Championship 2021,Q1
WHITELEY Daniel,,Ilca 7,7.0,O,13,,172.0,113.0,European Championship 2021,Q1
LAUKKANEN Nooa,,Ilca 7,8.0,O,14,,205.0,124.0,European Championship 2021,Q1
KOMISSAROV Sergei,,Ilca 7,12.0,O,15,,207.0,127.0,European Championship 2021,Q1
MARQUES Eduardo,,Ilca 7,(28.0),O,16,,195.0,133.0,European Championship 2021,Q1
KRUTSKIKH Daniil,,Ilca 7,16.0,O,17,,232.0,140.0,European Championship 2021,Q1
DUKIC Milivoj,,Ilca 7,(59.0 ufd),O,18,,261.0,143.0,European Championship 2021,Q1
VILLA Nicol•,,Ilca 7,19.0,O,19,,201.0,149.0,European Championship 2021,Q1
ZELKO Zan Luka,,Ilca 7,1.0,O,20,,254.0,163.0,European Championship 2021,Q1
MCMAHON Ewan,,Ilca 7,22.0,O,21,,244.0,171.0,European Championship 2021,Q1
WHALEY Sam,,Ilca 7,4.0,O,22,,241.0,175.0,European Championship 2021,Q1
PAPADIMITRIOU Dimitris,,Ilca 7,(23.0),O,23,,249.0,176.0,European Championship 2021,Q1
VADNAI Benjamin,,Ilca 7,(36.0),O,24,,255.0,176.0,European Championship 2021,Q1
BOUGIOURIS Adonis,,Ilca 7,(37.0),O,25,,267.0,183.0,European Championship 2021,Q1
WILLIM Nik Aaron,,Ilca 7,20.0,O,26,,301.0,183.0,European Championship 2021,Q1
GASPIC Bruno,,Ilca 7,9.0,O,27,,283.0,184.0,European Championship 2021,Q1
BOITE Alexandre,,Ilca 7,(33.0),O,28,,263.0,185.0,European Championship 2021,Q1
TEPLY Viktor,,Ilca 7,20.0,O,29,,255.0,188.0,European Championship 2021,Q1
GOLANI Omer Boaz,,Ilca 7,29.0,O,30,,277.0,189.0,European Championship 2021,Q1
COCCOLUTO Giovanni,,Ilca 7,17.0,O,31,,278.0,190.0,European Championship 2021,Q1
SAMPAIO Santiago,,Ilca 7,(38.0),O,32,,288.0,191.0,European Championship 2021,Q1
PLANCHESTAINER Gianmarco,,Ilca 7,14.0,O,33,,274.0,194.0,European Championship 2021,Q1
ABAY Berkay,,Ilca 7,(34.0),O,34,,285.0,198.0,European Championship 2021,Q1
CITAK Yigit Yalcin,,Ilca 7,9.0,O,35,,309.0,199.0,European Championship 2021,Q1
PERONI Dimitri,,Ilca 7,11.0,O,36,,299.0,209.0,European Championship 2021,Q1
NAUJOCK Nico,,Ilca 7,40.0,O,37,,338.0,223.0,European Championship 2021,Q1
BENGTSON Emil,,Ilca 7,26.0,O,38,,353.0,235.0,European Championship 2021,Q1
BARTH Justin,,Ilca 7,34.0,O,39,,325.0,236.0,European Championship 2021,Q1
RODZIEWICZ Kuba,,Ilca 7,10.0,O,40,,327.0,239.0,European Championship 2021,Q1
PANAGIOTIDIS Anastasios,,Ilca 7,(27.0),O,41,,330.0,250.0,European Championship 2021,Q1
TAPPER Aleksi,,Ilca 7,(45.0),O,42,,350.0,259.0,European Championship 2021,Q1
GLYNN Liam,,Ilca 7,4.0,O,43,,363.0,267.0,European Championship 2021,Q1
KARK Wilhelm,,Ilca 7,14.0,O,44,,364.0,267.0,European Championship 2021,Q1
PAJARSKAS Martis,,Ilca 7,18.0,O,45,,382.0,277.0,European Championship 2021,Q1
VAN OFWEGEN Thomas,,Ilca 7,26.0,O,46,,371.0,279.0,European Championship 2021,Q1
MATEUS Lourenco,,Ilca 7,(30.0 SCP),O,47,,370.0,285.0,European Championship 2021,Q1
FARREN-PRICE Jacob,,Ilca 7,23.0,O,48,,402.0,289.0,European Championship 2021,Q1
MARKOVIC Ilija,,Ilca 7,6.0,O,49,,404.0,301.0,European Championship 2021,Q1
UUSITALO Valtteri,,Ilca 7,35.0,P,1,,178.0,60.0,European Championship 2021,Q1
ROLAZ Nicolas,,Ilca 7,(48.0),P,2,,183.0,93.0,European Championship 2021,Q1
HOFFMANN Julian,,Ilca 7,41.0,P,3,,205.0,100.0,European Championship 2021,Q1
BOS Marnix,,Ilca 7,(39.0),P,4,,187.0,113.0,European Championship 2021,Q1
